[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO3	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO2	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	m_foo2	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	func1	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	m_foo2	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	m_foo2	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	m_foo2	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	func2	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	func3	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO1	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	y	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO2	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	m_foo2	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	func1	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	func2	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	m_foo2	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	m	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	30 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	30 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO1	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	samefunc	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO2	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	3	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	31 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	33 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	33 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	34 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	34 
[SYNTAX] WARNING: SKIPPING TOKEN:	program	AT LINE NUMBER:	35 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	35 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO1	AT LINE NUMBER:	36 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	36 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	36 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO2	AT LINE NUMBER:	37 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	37 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	37 
[SYNTAX] WARNING: SKIPPING TOKEN:	4	AT LINE NUMBER:	37 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	37 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	37 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO3	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo3	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	40 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	40 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	40 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	40 
[SYNTAX] WARNING: SKIPPING TOKEN:	0	AT LINE NUMBER:	40 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	40 
[SYNTAX] WARNING: SKIPPING TOKEN:	for	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	0	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	<	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	+	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	if	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	then	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo3	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	func2	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	99	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	get	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo3	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	else	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	put	AT LINE NUMBER:	47 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	47 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo3	AT LINE NUMBER:	48 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	48 
[SYNTAX] WARNING: SKIPPING TOKEN:	func3	AT LINE NUMBER:	48 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	48 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo2	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	2	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo1	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	i	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	57 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO3	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	func	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	FOO2	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	59 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	59 
[SYNTAX] WARNING: REACHED END OF FILE 
