[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	Rational	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	Rational	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	result	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	result	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	setNumerator	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	6.3	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	result	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	setDenominator	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	9.6	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	result	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	19 
[SYNTAX] WARNING: REACHED END OF FILE 
