[SYNTAX] ERROR: IN LINE NUMBER:	1:	Expected One of these tokens:	: 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	9 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	10 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	11 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	min	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	float	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	12 
[SYNTAX] WARNING: SKIPPING TOKEN:	if	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	>	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	then	AT LINE NUMBER:	13 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	14 
[SYNTAX] WARNING: SKIPPING TOKEN:	else	AT LINE NUMBER:	15 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	x	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	16 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	17 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	18 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	20 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo1	AT LINE NUMBER:	20 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	20 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo2	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo3	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	30	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo4	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	30	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	40	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	addition	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	,	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	return	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	+	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	28 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	29 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	30 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	30 
[SYNTAX] WARNING: SKIPPING TOKEN:	program	AT LINE NUMBER:	32 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	32 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	35 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	35 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	35 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo1	AT LINE NUMBER:	36 
[SYNTAX] WARNING: SKIPPING TOKEN:	f1	AT LINE NUMBER:	36 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	36 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrF	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	100	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	38 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo1	AT LINE NUMBER:	39 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrF1	AT LINE NUMBER:	39 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	39 
[SYNTAX] WARNING: SKIPPING TOKEN:	100	AT LINE NUMBER:	39 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	39 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	39 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	f1	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	41 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	f1	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	42 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	f1	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	min	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	43 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrF	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	44 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrF	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	min	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	(	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	45 
[SYNTAX] WARNING: SKIPPING TOKEN:	f	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrF	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo4	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	1	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	2	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	3	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	4	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	b	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	46 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	49 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	50 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	51 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	52 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	53 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	11	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	11	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	54 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	12	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	.	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	11	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	=	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	55 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	55 
