----------------------------------- Tokens ---------------------------------------
S.#	                                       Type	               Value	Line#	
 96	                          PUNCTUATION_COMMA	                   ,	   59	
 97	                                    INTEGER	                   0	   59	
 98	                          PUNCTUATION_COMMA	                   ,	   59	
 99	                                    INTEGER	                   1	   59	
100	                          PUNCTUATION_COMMA	                   ,	   59	
101	                                    INTEGER	                   0	   59	
102	                          PUNCTUATION_COMMA	                   ,	   59	
103	                                    INTEGER	                 200	   59	
104	                          PUNCTUATION_COMMA	                   ,	   59	
105	                                    INTEGER	                2000	   59	
106	                          PUNCTUATION_COMMA	                   ,	   59	
107	                                    INTEGER	                1230	   59	
108	                          PUNCTUATION_COMMA	                   ,	   59	
109	                          PUNCTUATION_COMMA	                   ,	   59	
110	                                      FLOAT	               0.001	   59	
111	                          PUNCTUATION_COMMA	                   ,	   59	
112	                                      FLOAT	                0.12	   59	
113	                          PUNCTUATION_COMMA	                   ,	   59	
114	                                      FLOAT	              0.0002	   59	
115	                          PUNCTUATION_COMMA	                   ,	   59	
116	                                      FLOAT	               0.001	   59	
117	                          PUNCTUATION_COMMA	                   ,	   59	
118	                            PUNCTUATION_DOT	                   .	   59	
119	                                    INTEGER	                   1	   59	
120	                          PUNCTUATION_COMMA	                   ,	   59	
121	                            PUNCTUATION_DOT	                   .	   59	
122	                            PUNCTUATION_DOT	                   .	   59	
123	                                    INTEGER	                  12	   59	
124	                          PUNCTUATION_COMMA	                   ,	   59	
125	                          PUNCTUATION_COMMA	                   ,	   59	
126	                          PUNCTUATION_COMMA	                   ,	   59	
127	                                      FLOAT	             1.00123	   59	
128	                            PUNCTUATION_DOT	                   .	   61	
129	                            RESERVE_WORD_IF	                  if	   65	
130	                          RESERVE_WORD_THEN	                then	   65	
131	                           RESERVE_WORD_FOR	                 for	   65	
132	                          RESERVE_WORD_ELSE	                else	   65	
133	                           RESERVE_WORD_INT	                 int	   65	
134	                         RESERVE_WORD_FLOAT	               float	   65	
135	                           RESERVE_WORD_GET	                 get	   65	
136	                           RESERVE_WORD_PUT	                 put	   65	
137	                        RESERVE_WORD_RETURN	              return	   65	
138	                         OPERATOR_REL_EQUAL	                  ==	   68	
139	                     OPERATOR_REL_NOT_EQUAL	                  <>	   68	
140	                      OPERATOR_REL_LESSTHAN	                   <	   68	
141	                   OPERATOR_REL_GREATERTHAN	                   >	   68	
142	                OPERATOR_REL_LESSTHAN_EQUAL	                  <=	   68	
143	             OPERATOR_REL_GREATERTHAN_EQUAL	                  >=	   68	
144	                      OPERATOR_ASSIGN_EQUAL	                   =	   71	
145	                               OPERATOR_AND	                 and	   74	
146	                                OPERATOR_OR	                  or	   74	
147	                               OPERATOR_NOT	                 not	   74	
148	                               OPERATOR_ADD	                   +	   77	
149	                               OPERATOR_SUB	                   -	   77	
150	                               OPERATOR_MUL	                   *	   77	
151	                               OPERATOR_DIV	                   /	   77	
152	         PUNCTUATION_ROUND_LEFT_PARENTHESIS	                   (	   80	
153	        PUNCTUATION_ROUND_RIGHT_PARENTHESIS	                   )	   80	
154	       PUNCTUATION_SQUARE_RIGHT_PARENTHESIS	                   {	   80	
155	        PUNCTUATION_CURLY_RIGHT_PARENTHESIS	                   }	   80	
156	        PUNCTUATION_SQUARE_LEFT_PARENTHESIS	                   [	   80	
157	       PUNCTUATION_SQUARE_RIGHT_PARENTHESIS	                   ]	   80	
158	                      PUNCTUATION_SEMICOLON	                   ;	   80	
159	                          PUNCTUATION_COMMA	                   ,	   80	
160	                            PUNCTUATION_DOT	                   .	   80	
161	                                    INTEGER	                   0	   83	
162	                                    INTEGER	                   1	   83	
163	                                    INTEGER	                   2	   83	
164	                                    INTEGER	                   3	   83	
165	                                    INTEGER	                   4	   83	
166	                                    INTEGER	                   5	   83	
167	                                    INTEGER	                   6	   83	
168	                                    INTEGER	                   7	   83	
169	                                    INTEGER	                   8	   83	
170	                                    INTEGER	                   9	   83	
171	                                    INTEGER	                  10	   86	
172	                                    INTEGER	                  12	   86	
173	                                    INTEGER	                 123	   86	
174	                                    INTEGER	                1234	   86	
175	                                    INTEGER	               12399	   86	
176	                                    INTEGER	              990099	   86	
177	                                    INTEGER	          1000000001	   86	
178	                                      FLOAT	                 0.0	   89	
179	                                      FLOAT	                 0.1	   91	
180	                                      FLOAT	               0.001	   91	
181	                                      FLOAT	               0.002	   91	
182	                                      FLOAT	            0.000101	   91	
183	                                      FLOAT	               9.001	   93	
184	                                      FLOAT	               11.01	   93	
185	                                      FLOAT	          1000.00001	   93	
186	                                      FLOAT	  999900.00000010001	   95	
187	                                      T_EOF	                   $	   95	
