[SYNTAX] ERROR: IN LINE NUMBER:	5:	Expected One of these tokens:	id float int } 
[SYNTAX] WARNING: SKIPPING TOKEN:	)	AT LINE NUMBER:	9 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	;	AT LINE NUMBER:	9 
[SYNTAX] ERROR: IN LINE NUMBER:	10:	Expected One of these tokens:	id float int } 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	10 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	}	AT LINE NUMBER:	11 
[SYNTAX] ERROR: IN LINE NUMBER:	19:	Expected One of these tokens:	id float int program 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	19 
[SYNTAX] WARNING: SKIPPING TOKEN:	class	AT LINE NUMBER:	20 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	Foo1	AT LINE NUMBER:	20 
[SYNTAX] ERROR: IN LINE NUMBER:	20:	Expected One of these token Type:	IDENTIFIER 
[SYNTAX] ERROR: INVALID TOKEN MATCH: PUNCTUATION_CURLY_LEFT_PARENTHESIS	{ 
[SYNTAX] ERROR: IN LINE NUMBER:	20:	Expected One of these tokens:	sr ( 
[SYNTAX] WARNING: SKIPPING TOKEN:	{	AT LINE NUMBER:	20 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	a	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	21 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	foo	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	22 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	23 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo2	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	24 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo3	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	30	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	25 
[SYNTAX] WARNING: SKIPPING TOKEN:	Foo	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	arrFoo4	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	10	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	20	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	30	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	[	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	40	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	]	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	26 
[SYNTAX] WARNING: SKIPPING TOKEN:	int	AT LINE NUMBER:	27 
[SYNTAX] WARNING: SKIPPING TOKEN:	addition	AT LINE NUMBER:	27 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	(	AT LINE NUMBER:	27 
[SYNTAX] ERROR: IN LINE NUMBER:	30:	Expected One of these tokens:	id float int program 
[SYNTAX] WARNING: SKIPPING TOKEN:	}	AT LINE NUMBER:	30 
[SYNTAX] WARNING: SKIPPING TOKEN:	;	AT LINE NUMBER:	30 
[SYNTAX] WARNING: RESUME PARSING FROM  TOKEN:	program	AT LINE NUMBER:	32 
